n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,978490,1.82073e+06,443774,462974,465226,509204,1.16586e+07
20000,2.14059e+06,3.79063e+06,944576,1.02012e+06,1.02073e+06,1.0275e+06,2.37241e+07
30000,3.29907e+06,5.854e+06,1.38839e+06,1.53001e+06,1.53154e+06,1.54558e+06,3.64318e+07
40000,4.46522e+06,8.03641e+06,1.85151e+06,2.04076e+06,2.04215e+06,2.08554e+06,4.95317e+07
50000,5.86984e+06,1.02099e+07,2.31743e+06,2.55041e+06,2.55219e+06,2.55379e+06,6.27339e+07
60000,6.96453e+06,1.22419e+07,2.74679e+06,3.06102e+06,3.06397e+06,3.1124e+06,7.4982e+07
70000,8.20324e+06,1.45729e+07,3.24331e+06,3.5708e+06,3.57363e+06,3.6168e+06,8.86147e+07
80000,9.58873e+06,1.69857e+07,3.7062e+06,4.08124e+06,4.08409e+06,4.12488e+06,1.03327e+08
90000,1.08158e+07,1.91082e+07,4.16862e+06,4.47372e+06,4.64495e+06,4.75973e+06,1.16998e+08
100000,1.23723e+07,2.30712e+07,4.73599e+06,4.82842e+06,4.88492e+06,5.17123e+06,1.41522e+08
