n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,2.29988e+07,2.59145e+06,1.56773e+07,2.1042e+07,2.35776e+07,2.49884e+07,2.70096e+07
20000,5.3932e+07,5.0258e+06,3.24197e+07,5.20567e+07,5.53222e+07,5.74342e+07,6.01585e+07
30000,8.89315e+07,1.08532e+07,5.13722e+07,8.38493e+07,8.93923e+07,9.40247e+07,1.13241e+08
40000,1.21268e+08,1.08068e+07,7.04867e+07,1.17703e+08,1.24068e+08,1.27359e+08,1.36357e+08
50000,1.54193e+08,1.21049e+07,9.18387e+07,1.48416e+08,1.5769e+08,1.62805e+08,1.73046e+08
60000,1.89721e+08,1.4818e+07,1.26624e+08,1.83809e+08,1.94971e+08,2.00557e+08,2.1746e+08
70000,2.24594e+08,1.96826e+07,1.33766e+08,2.19185e+08,2.31284e+08,2.3774e+08,2.45951e+08
80000,2.59394e+08,2.06308e+07,1.67446e+08,2.49179e+08,2.65153e+08,2.73545e+08,2.8907e+08
90000,2.95849e+08,2.35045e+07,1.93927e+08,2.85914e+08,3.04557e+08,3.1276e+08,3.20978e+08
100000,3.31744e+08,2.70099e+07,2.18916e+08,3.19963e+08,3.39618e+08,3.52443e+08,3.60418e+08
