n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,1.23844e+06,34421.7,1.21801e+06,1.22686e+06,1.22932e+06,1.23262e+06,1.43757e+06
20000,2.85755e+06,52460,2.78153e+06,2.83707e+06,2.84228e+06,2.85898e+06,3.17381e+06
30000,4.62356e+06,67097.8,4.55922e+06,4.60236e+06,4.60698e+06,4.61314e+06,4.98862e+06
40000,6.32715e+06,163427,6.16463e+06,6.24986e+06,6.28359e+06,6.34563e+06,7.32705e+06
50000,8.21113e+06,173087,8.04417e+06,8.12939e+06,8.1787e+06,8.23025e+06,9.61984e+06
60000,1.01606e+07,170095,9.93186e+06,1.00681e+07,1.01207e+07,1.01913e+07,1.08614e+07
70000,1.20547e+07,116153,1.1916e+07,1.19805e+07,1.20331e+07,1.20858e+07,1.27947e+07
80000,1.41111e+07,174557,1.38875e+07,1.40051e+07,1.40691e+07,1.41399e+07,1.48646e+07
90000,1.60867e+07,188890,1.58826e+07,1.59776e+07,1.60359e+07,1.61291e+07,1.712e+07
100000,1.8052e+07,145167,1.78523e+07,1.79503e+07,1.80127e+07,1.81249e+07,1.85443e+07
