n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,899504,510991,743556,746379,748109,756891,4.02078e+06
20000,1.90473e+06,1.23413e+06,1.45833e+06,1.5015e+06,1.54656e+06,1.63907e+06,9.24823e+06
30000,2.81955e+06,1.86048e+06,2.2264e+06,2.24202e+06,2.25566e+06,2.42148e+06,1.37682e+07
40000,4.00636e+06,2.85273e+06,2.96596e+06,3.02115e+06,3.12439e+06,3.46538e+06,2.0773e+07
50000,4.69231e+06,3.44277e+06,3.64516e+06,3.65625e+06,3.72515e+06,3.75746e+06,2.42401e+07
60000,5.65091e+06,4.07753e+06,4.38372e+06,4.42534e+06,4.50538e+06,4.58493e+06,2.86864e+07
70000,6.66186e+06,4.85464e+06,5.00617e+06,5.10617e+06,5.16926e+06,5.58134e+06,3.40317e+07
80000,7.86872e+06,6.94484e+06,5.83425e+06,5.85055e+06,5.91583e+06,6.28797e+06,5.33542e+07
90000,8.85163e+06,7.02428e+06,6.57162e+06,6.72805e+06,6.797e+06,7.1042e+06,4.69208e+07
100000,9.68618e+06,8.12033e+06,7.2964e+06,7.42718e+06,7.46266e+06,7.46971e+06,6.10404e+07
