n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,7.59244e+06,1.3616e+06,4.21181e+06,6.88974e+06,7.63325e+06,8.27654e+06,1.01251e+07
20000,1.85761e+07,2.14388e+06,9.54048e+06,1.81559e+07,1.90086e+07,2.01227e+07,2.09302e+07
30000,3.04268e+07,3.46761e+06,1.558e+07,2.92747e+07,3.17406e+07,3.25654e+07,3.43594e+07
40000,4.29501e+07,4.78291e+06,2.22406e+07,4.14182e+07,4.49048e+07,4.62283e+07,4.77587e+07
50000,5.58762e+07,6.20475e+06,2.8356e+07,5.38363e+07,5.79478e+07,5.9974e+07,6.20708e+07
60000,6.93677e+07,7.64871e+06,3.56583e+07,6.66129e+07,7.20413e+07,7.46491e+07,7.63376e+07
70000,8.23183e+07,8.80654e+06,4.27114e+07,7.92916e+07,8.56351e+07,8.86579e+07,9.05005e+07
80000,9.57459e+07,1.04011e+07,4.83776e+07,9.20928e+07,9.96449e+07,1.03188e+08,1.04961e+08
90000,1.09524e+08,1.1784e+07,5.54181e+07,1.05051e+08,1.13416e+08,1.17908e+08,1.24613e+08
100000,1.23354e+08,1.29589e+07,6.44341e+07,1.18197e+08,1.27875e+08,1.32378e+08,1.35081e+08
