n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,907896,357099,783773,787040,816624,857869,3.28791e+06
20000,1.94633e+06,851575,1.69692e+06,1.74705e+06,1.75348e+06,1.75848e+06,7.96626e+06
30000,3.00382e+06,1.50025e+06,2.5654e+06,2.62307e+06,2.62703e+06,2.69711e+06,1.31904e+07
40000,3.95031e+06,2.24056e+06,3.32723e+06,3.40224e+06,3.40479e+06,3.44141e+06,1.924e+07
50000,5.02159e+06,3.09383e+06,4.20111e+06,4.25018e+06,4.25487e+06,4.30381e+06,2.56504e+07
60000,6.0753e+06,3.95636e+06,5.0275e+06,5.10096e+06,5.10534e+06,5.14082e+06,3.29998e+07
70000,7.62799e+06,4.93712e+06,6.3691e+06,6.39072e+06,6.39524e+06,6.43645e+06,4.08433e+07
80000,8.08189e+06,5.95399e+06,6.51834e+06,6.59066e+06,6.59682e+06,6.64253e+06,4.82007e+07
90000,9.42829e+06,7.14062e+06,7.49371e+06,7.59057e+06,7.62506e+06,7.72302e+06,5.80804e+07
100000,1.02852e+07,8.15345e+06,8.11258e+06,8.23825e+06,8.24281e+06,8.27652e+06,6.5047e+07
