n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,2.02246e+07,2.53541e+06,1.50453e+07,1.80606e+07,2.11205e+07,2.23398e+07,2.33477e+07
20000,5.13701e+07,4.7414e+06,3.43892e+07,5.08144e+07,5.351e+07,5.40323e+07,5.47654e+07
30000,8.43112e+07,8.55327e+06,5.39903e+07,8.26129e+07,8.83751e+07,8.89826e+07,9.37017e+07
40000,1.1873e+08,1.41512e+07,7.58302e+07,1.13911e+08,1.22941e+08,1.25205e+08,1.60468e+08
50000,1.65245e+08,1.57585e+07,1.01877e+08,1.6286e+08,1.65661e+08,1.73797e+08,1.93562e+08
60000,1.99608e+08,1.73454e+07,1.35982e+08,1.94909e+08,1.98624e+08,2.10056e+08,2.24236e+08
70000,2.39874e+08,2.47777e+07,1.52003e+08,2.28982e+08,2.45396e+08,2.55929e+08,2.72245e+08
80000,2.7645e+08,3.54228e+07,1.65068e+08,2.57075e+08,2.82635e+08,3.00056e+08,3.29554e+08
90000,3.08864e+08,2.21272e+07,2.25133e+08,2.99641e+08,3.13011e+08,3.20993e+08,3.46356e+08
100000,3.40786e+08,3.74896e+07,2.13247e+08,3.25656e+08,3.5428e+08,3.60955e+08,4.03525e+08
