n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,3.05669e+06,80600.9,2.93949e+06,3.01468e+06,3.0301e+06,3.09907e+06,3.46301e+06
20000,7.53918e+06,273462,7.27465e+06,7.40453e+06,7.49964e+06,7.58923e+06,9.57625e+06
30000,1.32301e+07,752789,1.23256e+07,1.27708e+07,1.29421e+07,1.35315e+07,1.64751e+07
40000,1.95591e+07,1.30746e+06,1.81705e+07,1.86853e+07,1.904e+07,2.02124e+07,2.31926e+07
50000,2.7663e+07,3.9035e+06,2.37268e+07,2.48221e+07,2.66196e+07,2.89438e+07,4.04521e+07
60000,3.59392e+07,5.98032e+06,3.0431e+07,3.13952e+07,3.24534e+07,4.11485e+07,5.38825e+07
70000,4.04473e+07,3.04531e+06,3.87463e+07,3.92467e+07,3.9732e+07,4.02321e+07,6.07705e+07
80000,4.84714e+07,3.96639e+06,4.57517e+07,4.68847e+07,4.74789e+07,4.83823e+07,7.59623e+07
90000,5.59027e+07,1.87342e+06,5.39899e+07,5.50251e+07,5.54789e+07,5.59583e+07,6.76447e+07
100000,7.26763e+07,7.13016e+06,6.37275e+07,6.69216e+07,7.19598e+07,7.55897e+07,9.70014e+07
