n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,329161,100866,289503,314366,316084,318653,1.31962e+06
20000,705513,839164,600549,604260,605786,618784,9.00493e+06
30000,1.04518e+06,1.32804e+06,902190,905377,906504,909243,1.41829e+07
40000,1.2718e+06,554263,1.18108e+06,1.18912e+06,1.21088e+06,1.22251e+06,6.7474e+06
50000,1.76215e+06,2.35548e+06,1.50646e+06,1.50994e+06,1.51223e+06,1.51548e+06,2.50517e+07
60000,2.23616e+06,2.99953e+06,1.80975e+06,1.82047e+06,1.85702e+06,2.03534e+06,3.18874e+07
70000,2.59769e+06,3.61484e+06,2.0709e+06,2.1069e+06,2.16328e+06,2.40101e+06,3.83456e+07
80000,2.67e+06,1.4554e+06,2.36414e+06,2.42764e+06,2.47796e+06,2.60026e+06,1.70219e+07
90000,3.37985e+06,4.789e+06,2.66898e+06,2.73443e+06,2.81173e+06,2.90402e+06,5.00166e+07
100000,3.64359e+06,4.00024e+06,2.9643e+06,3.08742e+06,3.19556e+06,3.36447e+06,4.31999e+07
