n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,8.54219e+06,1.84011e+06,3.91163e+06,7.53939e+06,8.693e+06,9.73466e+06,1.35266e+07
20000,1.90402e+07,3.51408e+06,8.08214e+06,1.76035e+07,2.04454e+07,2.17245e+07,2.28087e+07
30000,3.18536e+07,6.68031e+06,1.25982e+07,2.86381e+07,3.22444e+07,3.77788e+07,4.54841e+07
40000,4.50824e+07,7.95642e+06,1.78328e+07,4.25542e+07,4.67759e+07,4.99843e+07,5.7917e+07
50000,6.08697e+07,1.18983e+07,2.32428e+07,5.57614e+07,6.36208e+07,6.93877e+07,8.06203e+07
60000,7.26981e+07,1.11288e+07,2.8188e+07,6.74455e+07,7.60683e+07,8.02644e+07,9.23471e+07
70000,8.68485e+07,1.48853e+07,3.50229e+07,8.12304e+07,8.90632e+07,9.65775e+07,1.14186e+08
80000,1.00177e+08,1.63481e+07,4.08965e+07,9.25918e+07,1.06044e+08,1.09757e+08,1.24233e+08
90000,1.15491e+08,1.97417e+07,4.49978e+07,1.03315e+08,1.22383e+08,1.26707e+08,1.47968e+08
100000,1.30115e+08,2.2263e+07,4.97529e+07,1.19336e+08,1.38311e+08,1.44141e+08,1.61526e+08
