n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,668268,79861,612826,617066,631940,684936,1.0819e+06
20000,1.33316e+06,70317.6,1.29169e+06,1.29972e+06,1.30212e+06,1.32966e+06,1.62449e+06
30000,1.99717e+06,72461.1,1.90398e+06,1.95116e+06,1.98084e+06,2.02096e+06,2.29022e+06
40000,2.63687e+06,66842,2.54547e+06,2.59977e+06,2.60502e+06,2.65065e+06,2.90452e+06
50000,3.60028e+06,101857,3.48217e+06,3.55145e+06,3.5591e+06,3.61782e+06,3.99722e+06
60000,4.2895e+06,97919.7,4.18119e+06,4.23064e+06,4.24375e+06,4.32388e+06,4.67226e+06
70000,4.57329e+06,41706.4,4.52408e+06,4.55052e+06,4.55754e+06,4.57349e+06,4.75636e+06
80000,5.71829e+06,137939,5.57416e+06,5.64061e+06,5.64803e+06,5.72118e+06,6.14624e+06
90000,5.88849e+06,119146,5.73632e+06,5.84491e+06,5.86522e+06,5.89879e+06,6.6627e+06
100000,6.52228e+06,39533.8,6.48989e+06,6.50054e+06,6.5067e+06,6.52401e+06,6.69571e+06
