n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,662642,57884.1,590537,622346,653802,673710,868564
20000,1.30762e+06,14334.6,1.296e+06,1.30141e+06,1.30385e+06,1.3076e+06,1.40471e+06
30000,2.03984e+06,143914,1.90094e+06,1.95149e+06,1.96667e+06,2.09356e+06,2.46257e+06
40000,2.64685e+06,83333.9,2.54616e+06,2.60148e+06,2.6095e+06,2.67499e+06,2.99989e+06
50000,3.29072e+06,90677.8,3.19124e+06,3.25396e+06,3.26019e+06,3.29691e+06,3.67993e+06
60000,3.96371e+06,149108,3.86249e+06,3.90636e+06,3.91129e+06,3.91882e+06,4.64008e+06
70000,5.02394e+06,168596,4.93852e+06,4.95233e+06,4.95734e+06,4.98656e+06,6.00042e+06
80000,5.27457e+06,151918,5.10121e+06,5.19772e+06,5.21582e+06,5.27606e+06,5.7783e+06
90000,6.39699e+06,77629.5,6.28409e+06,6.36649e+06,6.37343e+06,6.38402e+06,6.71059e+06
100000,7.40883e+06,181668,7.11802e+06,7.29064e+06,7.3734e+06,7.50037e+06,8.22967e+06
