n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,57602,10784.9,52120,52519.5,53207,54370.8,112096
20000,114987,12144.5,108478,109418,109726,113029,153294
30000,201934,24444,157738,187340,189090,217982,263762
40000,241996,32078,212473,217320,221498,260610,336846
50000,290812,21916.4,277047,279594,283760,288744,404560
60000,361302,37869.5,325449,328969,342428,377933,487426
70000,406306,31866,387663,391634,396452,403990,593928
80000,673746,151718,433827,483636,756880,792781,920879
90000,506816,7857.11,498068,501014,503730,510836,537211
100000,560443,8049.35,542281,554970,559186,565333,578898
