n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000000,5.96894e+08,2.77774e+07,5.74144e+08,5.8879e+08,5.90018e+08,5.91979e+08,7.1987e+08
2000000,5.90479e+08,2.22027e+06,5.86738e+08,5.88637e+08,5.90292e+08,5.92246e+08,5.9446e+08
3000000,7.33687e+08,2.59989e+06,7.28473e+08,7.32487e+08,7.3457e+08,7.3544e+08,7.37082e+08
4000000,6.7349e+08,2.12632e+06,6.69029e+08,6.72266e+08,6.73963e+08,6.74807e+08,6.7802e+08
5000000,6.973e+08,1.55358e+06,6.93763e+08,6.96526e+08,6.97557e+08,6.98204e+08,7.00577e+08
6000000,6.99712e+08,1.50338e+06,6.96889e+08,6.98941e+08,6.99837e+08,7.00405e+08,7.0284e+08
7000000,7.49865e+08,1.52e+06,7.46719e+08,7.48984e+08,7.49917e+08,7.50991e+08,7.52354e+08
8000000,8.52049e+08,1.56201e+06,8.49662e+08,8.51089e+08,8.5177e+08,8.52775e+08,8.56286e+08
9000000,7.33234e+08,1.77414e+06,7.29942e+08,7.32061e+08,7.33067e+08,7.3442e+08,7.36849e+08
10000000,8.26263e+08,1.63518e+06,8.22483e+08,8.25465e+08,8.26e+08,8.27308e+08,8.29643e+08
11000000,9.23233e+08,2.7554e+06,9.16468e+08,9.21511e+08,9.22767e+08,9.25175e+08,9.29324e+08
12000000,9.3168e+08,2.76443e+06,9.26741e+08,9.29912e+08,9.31381e+08,9.32647e+08,9.41386e+08
13000000,9.65444e+08,1.91826e+06,9.61978e+08,9.64069e+08,9.64977e+08,9.67122e+08,9.69556e+08
14000000,9.74224e+08,2.20167e+06,9.71482e+08,9.72526e+08,9.73989e+08,9.75182e+08,9.81056e+08
15000000,8.3129e+08,1.08947e+06,8.29035e+08,8.30497e+08,8.31373e+08,8.32065e+08,8.33042e+08
16000000,9.65344e+08,1.66932e+06,9.60708e+08,9.64226e+08,9.65266e+08,9.66426e+08,9.68541e+08
17000000,9.44455e+08,1.82115e+06,9.402e+08,9.43562e+08,9.44495e+08,9.45626e+08,9.48418e+08
18000000,1.04193e+09,1.56607e+06,1.03854e+09,1.04075e+09,1.04176e+09,1.04315e+09,1.04466e+09
19000000,1.10787e+09,2.55693e+06,1.10441e+09,1.10618e+09,1.10762e+09,1.10842e+09,1.11667e+09
20000000,1.05232e+09,1.71294e+06,1.04701e+09,1.05155e+09,1.0523e+09,1.05344e+09,1.05621e+09
