n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000000,5.81282e+08,3.2855e+07,5.65955e+08,5.69705e+08,5.70867e+08,5.71765e+08,7.27233e+08
2000000,5.82091e+08,1.89904e+06,5.79267e+08,5.80396e+08,5.81842e+08,5.8363e+08,5.86065e+08
3000000,5.23745e+08,2.0289e+06,5.20583e+08,5.22466e+08,5.23335e+08,5.24473e+08,5.31242e+08
4000000,6.73922e+08,4.34706e+06,6.67161e+08,6.70643e+08,6.73738e+08,6.76703e+08,6.89121e+08
5000000,5.94389e+08,8.90294e+06,5.89638e+08,5.91713e+08,5.92912e+08,5.94166e+08,6.41957e+08
6000000,6.61286e+08,1.20395e+06,6.5833e+08,6.60692e+08,6.61384e+08,6.62375e+08,6.63011e+08
7000000,5.528e+08,1.66996e+06,5.48841e+08,5.5203e+08,5.52855e+08,5.53849e+08,5.55578e+08
8000000,6.76904e+08,3.31458e+06,6.73991e+08,6.75267e+08,6.76244e+08,6.77194e+08,6.92706e+08
9000000,5.27283e+08,1.20445e+06,5.25021e+08,5.26348e+08,5.27325e+08,5.28183e+08,5.2934e+08
10000000,5.75034e+08,1.81718e+06,5.70715e+08,5.73808e+08,5.75206e+08,5.76217e+08,5.78083e+08
11000000,6.78034e+08,2.55331e+06,6.75021e+08,6.76295e+08,6.77067e+08,6.79052e+08,6.8333e+08
12000000,5.9471e+08,1.00108e+06,5.92884e+08,5.94061e+08,5.94434e+08,5.95138e+08,5.97726e+08
13000000,5.47538e+08,1.8986e+06,5.43864e+08,5.45856e+08,5.47721e+08,5.4887e+08,5.51265e+08
14000000,5.91006e+08,1.85831e+06,5.86531e+08,5.8989e+08,5.91461e+08,5.92357e+08,5.9354e+08
15000000,6.44711e+08,2.35791e+06,6.38469e+08,6.4389e+08,6.4527e+08,6.46111e+08,6.48994e+08
16000000,6.70493e+08,1.75242e+06,6.68115e+08,6.69231e+08,6.70113e+08,6.71371e+08,6.7528e+08
17000000,6.49652e+08,2.44256e+06,6.46162e+08,6.47367e+08,6.49617e+08,6.51519e+08,6.53828e+08
18000000,5.23225e+08,2.01652e+06,5.19772e+08,5.21806e+08,5.23078e+08,5.23977e+08,5.3027e+08
19000000,6.78713e+08,1.6175e+06,6.75047e+08,6.77838e+08,6.78669e+08,6.79749e+08,6.82018e+08
20000000,6.75883e+08,3.75625e+06,6.69591e+08,6.73563e+08,6.75358e+08,6.77517e+08,6.89313e+08
