n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000000,2.79098e+11,2.24552e+10,2.66946e+11,2.67157e+11,2.68355e+11,2.80296e+11,3.12738e+11
2000000,2.68331e+11,1.23571e+08,2.68164e+11,2.68276e+11,2.68362e+11,2.68418e+11,2.68435e+11
3000000,2.62587e+11,7.95666e+09,2.54673e+11,2.56271e+11,2.63077e+11,2.69394e+11,2.69521e+11
4000000,2.57352e+11,1.4129e+08,2.57197e+11,2.5725e+11,2.57366e+11,2.57468e+11,2.57478e+11
5000000,2.57536e+11,2.00648e+08,2.57332e+11,2.5738e+11,2.57544e+11,2.577e+11,2.57724e+11
6000000,2.59657e+11,4.02867e+09,2.56357e+11,2.57064e+11,2.58468e+11,2.6106e+11,2.65335e+11
7000000,2.60055e+11,8.94259e+08,2.58731e+11,2.59908e+11,2.60439e+11,2.60586e+11,2.60614e+11
8000000,2.59809e+11,9.06392e+08,2.59124e+11,2.59286e+11,2.59491e+11,2.60014e+11,2.61131e+11
9000000,2.58011e+11,1.54839e+09,2.56501e+11,2.568e+11,2.57935e+11,2.59145e+11,2.59672e+11
10000000,2.59948e+11,6.36643e+08,2.59145e+11,2.59593e+11,2.60047e+11,2.60402e+11,2.60553e+11
11000000,2.30623e+11,2.18023e+08,2.30339e+11,2.30536e+11,2.30645e+11,2.30732e+11,2.30862e+11
12000000,2.32229e+11,2.17272e+08,2.31925e+11,2.32156e+11,2.32283e+11,2.32356e+11,2.32425e+11
13000000,2.39518e+11,2.56762e+09,2.36127e+11,2.38335e+11,2.39955e+11,2.41138e+11,2.42035e+11
14000000,2.36717e+11,3.1441e+08,2.36397e+11,2.36496e+11,2.36689e+11,2.3691e+11,2.37093e+11
15000000,2.37487e+11,2.48119e+08,2.37319e+11,2.37322e+11,2.37391e+11,2.37556e+11,2.37846e+11
16000000,2.37469e+11,1.77075e+09,2.35603e+11,2.36178e+11,2.37462e+11,2.38753e+11,2.3935e+11
17000000,2.40151e+11,1.27038e+09,2.38946e+11,2.3922e+11,2.39968e+11,2.40899e+11,2.41719e+11
18000000,2.39314e+11,2.92492e+08,2.38998e+11,2.39134e+11,2.39292e+11,2.39472e+11,2.39675e+11
19000000,2.40827e+11,4.90111e+08,2.40322e+11,2.4045e+11,2.40847e+11,2.41224e+11,2.4129e+11
20000000,2.40167e+11,3.62134e+08,2.39669e+11,2.40061e+11,2.40234e+11,2.4034e+11,2.40531e+11
