n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
1000000,2666.38,4123.33,1859,1910.5,1927.5,1965.25,25261
2000000,2595.56,3888.95,1837,1873.25,1887.5,1931,23904
3000000,2471.5,3684.86,1728,1789.5,1808.5,1835.25,22661
4000000,2552.44,3791.36,1789,1848,1866.5,1905.75,23326
5000000,2522.62,3733.59,1758,1827,1842.5,1865.5,22977
6000000,2546.91,3664.05,1783,1853.25,1871,1935.5,22620
7000000,2485.06,3621.45,1746,1781.75,1822,1855,22322
8000000,2477.59,3839.43,1711,1765.25,1792.5,1809.75,23515
9000000,2553.91,3545.66,1836,1886.75,1903.5,1938.25,21979
10000000,2517.69,3314.43,1868,1900,1923,1945,20678
11000000,2520.94,3771.69,1758,1799.25,1820.5,1877.75,23183
12000000,2599.81,3978.04,1792,1843.5,1874.5,1916.25,24392
13000000,2470.56,3604,1770,1799.5,1814,1840.25,22217
14000000,2552.94,3539.55,1824,1866.5,1899.5,1951.5,21941
15000000,2578.12,3675.41,1846,1875,1897.5,1936.5,22712
16000000,2476.91,3643.01,1727,1781,1803,1845.75,22431
17000000,2510.84,3671.66,1760,1821.75,1848,1887.5,22627
18000000,2544.88,3789.23,1788,1819,1835,1865,23296
19000000,2439.91,3339.99,1765,1799,1822.5,1849.5,20734
20000000,2527.94,3698.95,1801,1822.75,1836,1863.25,22788
