n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,201797,34400.8,173794,175304,183664,232788,465532
20000,365568,43257.9,339886,347718,348469,354495,663627
30000,538351,33988.8,518005,520986,530026,535748,957815
40000,704826,21087.7,689530,692649,694262,707928,923951
50000,879551,50955.5,862082,865916,866845,868697,1.34023e+06
60000,1.04929e+06,20035.1,1.03796e+06,1.03994e+06,1.04051e+06,1.0426e+06,1.31005e+06
70000,1.21815e+06,20765.9,1.20712e+06,1.20931e+06,1.21025e+06,1.21261e+06,1.52003e+06
80000,1.39323e+06,22362.4,1.3794e+06,1.38321e+06,1.38455e+06,1.38708e+06,1.75523e+06
90000,1.56544e+06,24420.2,1.55344e+06,1.55611e+06,1.55763e+06,1.5594e+06,1.961e+06
100000,1.73805e+06,27567.6,1.69711e+06,1.73093e+06,1.73269e+06,1.73458e+06,2.19009e+06
