n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,176565,4358.52,174917,175479,175690,176037,227130
20000,352496,6798.04,349822,350686,351008,352984,453354
30000,528284,14483.6,513616,517861,526116,528221,675054
40000,703577,17689.7,686650,689994,702238,705642,934960
50000,871541,20376.5,854137,859805,860880,892210,1.12952e+06
60000,1.04454e+06,21591.2,1.02859e+06,1.03073e+06,1.03242e+06,1.06574e+06,1.29704e+06
70000,1.21848e+06,25507.8,1.20198e+06,1.2034e+06,1.20457e+06,1.23808e+06,1.51334e+06
80000,1.39307e+06,26932.4,1.37356e+06,1.3765e+06,1.37835e+06,1.41203e+06,1.72701e+06
90000,1.56057e+06,25659.3,1.54431e+06,1.54705e+06,1.54874e+06,1.57836e+06,1.96186e+06
100000,1.73248e+06,26354.5,1.71735e+06,1.72068e+06,1.72219e+06,1.72478e+06,2.23462e+06
