n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,4.63769e+06,227724,4.48122e+06,4.55148e+06,4.59323e+06,4.64904e+06,7.9261e+06
20000,9.84369e+06,96037.1,9.73687e+06,9.78385e+06,9.80325e+06,9.88204e+06,1.06836e+07
30000,1.54622e+07,452733,1.52084e+07,1.52847e+07,1.53271e+07,1.55375e+07,2.33873e+07
40000,2.19444e+07,998213,2.10486e+07,2.13888e+07,2.18499e+07,2.20678e+07,3.28954e+07
50000,2.80287e+07,1.02867e+06,2.68708e+07,2.72206e+07,2.80306e+07,2.83445e+07,3.52148e+07
60000,3.42757e+07,1.14019e+06,3.26666e+07,3.354e+07,3.41626e+07,3.4705e+07,4.30074e+07
70000,3.98711e+07,1.04767e+06,3.88632e+07,3.91386e+07,3.94182e+07,4.06175e+07,4.81204e+07
80000,4.58717e+07,973241,4.50587e+07,4.53307e+07,4.5511e+07,4.58781e+07,5.37871e+07
90000,5.17632e+07,776436,5.12817e+07,5.14561e+07,5.15862e+07,5.17141e+07,6.03742e+07
100000,5.78386e+07,250457,5.75262e+07,5.76571e+07,5.7795e+07,5.79407e+07,5.97518e+07
