n,t_mean,t_stdev,t_Q0,t_Q1,t_Q2,t_Q3,t_Q4
10000,4.14669e+06,79089.7,4.02855e+06,4.08883e+06,4.12646e+06,4.19106e+06,4.53394e+06
20000,9.04914e+06,189393,8.78904e+06,8.92261e+06,9.02371e+06,9.14902e+06,1.10621e+07
30000,1.42056e+07,376881,1.37334e+07,1.4024e+07,1.41109e+07,1.43784e+07,1.84577e+07
40000,1.98176e+07,754670,1.90181e+07,1.94225e+07,1.98424e+07,1.99711e+07,3.05617e+07
50000,2.5225e+07,737818,2.4224e+07,2.47483e+07,2.52709e+07,2.5387e+07,3.06199e+07
60000,3.00307e+07,639879,2.95051e+07,2.97514e+07,2.98095e+07,3.00044e+07,3.64845e+07
70000,3.54704e+07,207507,3.50974e+07,3.53489e+07,3.54335e+07,3.55773e+07,3.67376e+07
80000,4.10556e+07,214690,4.07076e+07,4.09017e+07,4.10239e+07,4.11448e+07,4.30379e+07
90000,4.94937e+07,3.05903e+06,4.64091e+07,4.78676e+07,4.88388e+07,5.00259e+07,7.37313e+07
100000,5.42586e+07,2.84883e+06,5.20376e+07,5.24802e+07,5.33415e+07,5.53127e+07,8.74291e+07
